SCHEDULED TIME,ARRIVAL TIME,AIRLINE,FLIGHT,FROM,TERMINAL,BELT,STATUS
11:35,11:54,INDONESIA AIRASIA,QZ664,Medan,1,17,Landed
11:40,11:30,SILKAIR (SINGAPORE) PTE LTD,MI345,Penang,2,36,Landed
11:40,12:14,VietJet,VJ8931,Ho Chi Minh,3,48,Landed
11:45,11:15,SINGAPORE AIRLINES LTD,SQ1,San Francisco via Hong Kong,3,43,Landed
11:45,11:34,CATHAY PACIFIC AIRWAYS,CX691,Hong Kong,1,20,Landed
11:45,11:42,INDONESIA AIRASIA,QZ504,Bali-Denpasar,1,16,Landed
11:50,11:28,TIGERAIR SINGAPORE,TR2817,Phnom Penh,2,35,Landed
11:50,11:39,SILKAIR (SINGAPORE) PTE LTD,MI749,Phuket,2,31,Landed
11:55,11:32,VIETNAM AIRLINES,VN663,Hanoi,3,47,Landed
11:55,11:55,TIGERAIR SINGAPORE,TR2323,Ho Chi Minh,2,38,Landed
11:55,11:58,SINGAPORE AIRLINES LTD,SQ224,Perth,2,32,Landed
11:55,12:07,SINGAPORE AIRLINES LTD,SQ955,Jakarta,3,41,Landed
12:00,12:06,EVA AIRWAYS CORPN,BR225,Taipei,1,22,Landed
12:05,,BERJAYA AIR SDN. BHD,J8302,Tioman,2,,Cancelled
12:05,11:44,JETSTAR,3K556,Ho Chi Minh,1,18,Landed
12:05,12:02,MALAYSIA AIRLINES,MH643,Miri via Kuching,2,34,Landed
12:05,12:21,SILKAIR (SINGAPORE) PTE LTD,MI323,Kuala Lumpur,2,33,Landed
12:10,12:11,TIGERAIR SINGAPORE,TR2103,Bangkok (Suvarnabhumi),2,36,Landed
12:10,12:24,VIETNAM AIRLINES,VN651,Ho Chi Minh,3,47,Landed
12:15,12:26,SILKAIR (SINGAPORE) PTE LTD,MI361,Langkawi,2,37,Landed
12:20,12:22,TIGERAIR SINGAPORE,TR2153,Phuket,2,31,Landed
12:25,12:16,MYANMAR AIRWAYS INTERNATIONAL,8M231,Yangon,1,18,Landed
12:30,,AIRASIA,AK9809A,Kuala Lumpur,1,,Cancelled
12:30,12:12,CATHAY PACIFIC AIRWAYS,CX759,Hong Kong,1,21,Landed
12:30,12:58,TIGERAIR SINGAPORE,TR2429,Penang,2,33,Landed
12:35,12:30,SILKAIR (SINGAPORE) PTE LTD,MI771,Koh Samui,2,34,Landed
12:35,12:51,TIGERAIR SINGAPORE,TR2455,Kuala Lumpur,2,38,Landed
12:40,12:41,TIGERAIR SINGAPORE,TR2275,Jakarta,2,35,Landed
12:40,12:50,VALUAIR,VF202,Jakarta,1,20,Landed
12:40,13:29,JETSTAR,3K534,Phuket,1,23,Landed
12:45,13:05,SILKAIR (SINGAPORE) PTE LTD,MI325,Kuala Lumpur,2,36,Landed
12:50,12:28,JETSTAR,3K512,Bangkok (Suvarnabhumi),1,16,Landed
12:50,12:42,SINGAPORE AIRLINES LTD,SQ857,Hong Kong,2,32,Landed
12:55,13:31,SILKAIR (SINGAPORE) PTE LTD,MI191,Bandung,2,38,Landed
12:55,13:51,MALAYSIA AIRLINES,MH603,Kuala Lumpur,2,37,Landed
