GANTRY NO.,LOCATION,START TIME,END TIME,PRICE
74,Citybound AYE - Clementi Avenue 2 into AYE,835,855,2
40,Bendemeer Road southbound after Woodsville Interchange,855,900,1
71,Bendemeer Road southbound after Woodsville Tunnel,855,900,1
70,Geylang Road westbound before Kallang River,855,900,0.5
39,Thomson Road southbound after Toa Payoh Rise,855,900,1.3
43,Dunearn Road eastbound after Dunkirk Avenue,855,900,0.5
44,Dunearn Road eastbound after Dunkirk Avenue,855,900,0.5
56,Lorong 6 Toa Payoh from Braddell Road,855,900,0.5
57,Kallang Bahru from PIE,855,900,0.5
58,Geylang Bahru westbound after Geylang Bahru Terrace,855,900,0.5
59,Upper Boon Keng Road near Lorong 1 Geylang,855,900,0.5
36,AYE between Portsdown Road and Alexandra Road,855,900,0.5
54,BKE between Dairy Farm Road and PIE,855,900,0.5
31,CTE after Braddell Road,855,900,4
33,CTE after Serangoon Road,855,900,4
34,CTE after Balestier slip road,855,900,4
68,CTE slip road to PIE (Changi) / Serangoon Road,855,900,3
30,ECP (City),855,900,1
90,MCE Westbound before exit to Central Boulevard,855,900,1
91,MCE Westbound before exit to Maxwell Rd,855,900,1
80,KPE slip road into citybound ECP,855,900,1
32,PIE after Kallang Bahru exit,855,900,1
45,PIE Slip Road into Bendeemer Rd,855,900,1
37,PIE eastbound after Adam Road,855,900,1
38,Mount Pleasant slip road into the eastbound PIE,855,900,1
42,PIE slip road into CTE,855,900,4
65,PIE westbound before Eunos Link,855,900,0.5
52,Citybound AYE - After Jurong Town Hall,855,900,1.5
53,Citybound AYE - Clementi Avenue 6 into AYE,855,900,1.5
74,Citybound AYE - Clementi Avenue 2 into AYE,855,900,1.5
40,Bendemeer Road southbound after Woodsville Interchange,900,905,0.5
71,Bendemeer Road southbound after Woodsville Tunnel,900,905,0.5
70,Geylang Road westbound before Kallang River,900,905,0.5
39,Thomson Road southbound after Toa Payoh Rise,900,905,0.5
31,CTE after Braddell Road,900,905,2
33,CTE after Serangoon Road,900,905,2
34,CTE after Balestier slip road,900,905,2
68,CTE slip road to PIE (Changi) / Serangoon Road,900,905,2
32,PIE after Kallang Bahru exit,900,905,0.5
45,PIE Slip Road into Bendeemer Rd,900,905,0.5
42,PIE slip road into CTE,900,905,2
52,Citybound AYE - After Jurong Town Hall,900,905,1
53,Citybound AYE - Clementi Avenue 6 into AYE,900,905,1
74,Citybound AYE - Clementi Avenue 2 into AYE,900,905,1
40,Bendemeer Road southbound after Woodsville Interchange,905,925,0.5
71,Bendemeer Road southbound after Woodsville Tunnel,905,925,0.5
70,Geylang Road westbound before Kallang River,905,925,0.5
39,Thomson Road southbound after Toa Payoh Rise,905,925,0.5
31,CTE after Braddell Road,905,925,2
33,CTE after Serangoon Road,905,925,2
34,CTE after Balestier slip road,905,925,2
68,CTE slip road to PIE (Changi) / Serangoon Road,905,925,2
32,PIE after Kallang Bahru exit,905,925,0.5
45,PIE Slip Road into Bendeemer Rd,905,925,0.5
42,PIE slip road into CTE,905,925,2
52,Citybound AYE - After Jurong Town Hall,905,925,1
53,Citybound AYE - Clementi Avenue 6 into AYE,905,925,1
74,Citybound AYE - Clementi Avenue 2 into AYE,905,925,1
40,Bendemeer Road southbound after Woodsville Interchange,925,930,0.5
71,Bendemeer Road southbound after Woodsville Tunnel,925,930,0.5
70,Geylang Road westbound before Kallang River,925,930,0.5
39,Thomson Road southbound after Toa Payoh Rise,925,930,0.5
31,CTE after Braddell Road,925,930,1
33,CTE after Serangoon Road,925,930,1
34,CTE after Balestier slip road,925,930,1
68,CTE slip road to PIE (Changi) / Serangoon Road,925,930,1
32,PIE after Kallang Bahru exit,925,930,0.5
